Name,Manufacturer,Serial Number,Category,Purchase Date,Purchase Cost,Location,Company,Order Number,Quantity,Notes,Model Number,Min Qty,Supplier
Adjustable Window Blind,Oba,05bb973f-7b06-4a44-a465-7372d86ffc12,Books,2025-03-28,,Madīnat Sittah Uktūbar,Littel Inc,85362,45,Customizable window cover for light control and privacy.,Stainless steel travel mug that keeps drinks hot or cold.,255,
Digital Bullet Journal,Thoughtmix,e6f4eb01-33fb-40e4-8187-a1b82a8fc3f8,Music,2025-06-16,24.99,Alvaro Obregon,"Hilll, Bernhard and Boyer",4929,205,Stylish digital journaling app for notes and organizing tasks.,,95,
Pet Nail Clipper,Feedbug,4f1d1751-d981-44df-8cce-476e077f5cbf,Clothing,2025-08-30,12.99,,"Jones, Stroman and Zemlak",54656,256,Safe and easy-to-use nail clippers for pets.,High-quality olive oil infused with fresh lemon zest.,125,Buzzshare
Almond Flour Pancake Mix,Rhynyx,,Industrial,2026-01-03,5.99,Verkhnyaya Tura,Hahn Group,37544,122,Gluten-free pancake mix made with almond flour.,"Fluffy quinoa mixed with lemon zest and herbs, a perfect side.",258,Fliptune
Dog Collar,Twitterbeat,,Grocery,2025-10-14,15.99,Alegrete,Bode Group,40328,213,Adjustable dog collar with personalized tags.,Kitchen tool for tenderizing meat to enhance flavors.,24,Jaxnation
Collapsible Camping Cup,Wordware,d2e074bc-3900-41fb-88c3-35c55cdcb1dc,Health,2025-04-15,9.99,Jianghu,Smitham-Beatty,6487,77,Space-saving cup that folds flat for easy storage.,Challenging and fun puzzle game for all ages.,8,Skilith
Sunglasses,Roomm,db1f1f06-7108-4d11-b351-02bfc9d04fff,Home,2025-05-14,29.99,Sandgerði,,30502,99,Polarized sunglasses with UV protection.,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",,Jaloo
Chickpea Salad Deluxe,Fatz,69039b6a-9713-4ed2-881b-e563c2daf39d,Baby,2025-01-12,,Ramotswa,"Steuber, Runolfsson and Hirthe",83706,10,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad.",Eco-friendly generator for outdoor adventures.,14,Jayo
Frozen Salmon Filets,,bbb7d209-3f1a-4e25-8033-a0a9385ba597,Music,2025-08-02,,Potelych,,7394,230,"Wild-caught salmon filets, perfect for grilling or baking.","Sweet and chewy dried mango slices, perfect for snacking.",201,Leenti
Foldable Picnic Table,Tanoodle,f7c9e5b5-c80f-41a3-82af-c21850b8fb8b,Baby,2026-02-07,49.99,Grimshaw,,,246,Lightweight and portable picnic table for outdoor use.,,153,Twinder
Hiking Water Bottle with Filter,Avamm,,Shoes,2025-01-03,29.99,Talisay,Howe-Mohr,92089,71,8oz water bottle with built-in filter for clean drinking water.,"Creamy mayonnaise, perfect for salads and sandwiches.",38,Shufflebeat
Beef Tacos,Muxo,78b81695-aec3-43ee-bcad-ac3488e1985f,Tools,2025-06-11,5.49,Žabljak,"Larson, Gottlieb and Klocko",77504,110,"Pre-seasoned beef mix for delicious tacos, just heat and serve.",Stylish wall art to enhance home decor.,252,Eabox
Compact Folding Table,,11ff5b01-7580-4ff4-8dc4-dce64c45b716,Baby,2025-07-22,49.99,Montréal-Ouest,Conn-Wunsch,44408,67,Versatile folding table great for events or outdoor activities.,Multi-functional gloves for planting and digging without tools.,295,Youspan
Portable Massage Table,Voolith,079fb7d2-fb90-4180-9586-3926bc8fd0cc,Grocery,2025-03-27,199.99,Pechora,Hilpert-Harvey,34861,255,Folding massage table for professional or home use.,Hearty lentil soup for a quick meal.,144,Wordpedia
Greek Feta Cheese,Skilith,a2c86d7d-2ee7-45a1-81a9-7ec2b5873d36,Jewelry,2025-01-24,,Arauco,,80765,30,Creamy and crumbly cheese for salads and dishes.,Mixed fresh vegetables for stir-frying or roasting.,,Thoughtbeat
Granola Cereal,Brainverse,0c2809e3-a265-4d9c-94c8-e741bb889cc2,Toys,2025-03-15,,Pucyura,Doyle Group,,292,"Crunchy granola with oats, nuts, and honey.",Lightweight bike helmet with adjustable fit.,215,Jayo
Almond Flour Tortillas,Meeveo,0990b7f3-ba5c-494d-9689-3f7717627c1b,Automotive,2025-03-10,4.99,Oslo,Gleason-Langosh,21534,151,"Gluten-free tortillas made from almond flour, perfect for various wraps and meals.",Nutty granola bars for healthy snacking.,,Zoozzy
Bicycle Lock,Trilith,,Beauty,2025-04-07,29.99,Červenka,,28941,266,Heavy-duty bicycle lock for security.,Delicious cookies packed with oats and raisins.,214,Reallinks
Samoas Cookie Mix,Leenti,,Tools,2026-01-09,5.59,Zaječar,"Hand, Mueller and Rippin",16890,196,,64GB SD memory card for cameras and devices.,187,Edgeify
Spicy Garlic Edamame,,,Computers,2025-03-23,,,,40958,263,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.","A mix of strawberries, blueberries, and raspberries, great for smoothies or desserts.",36,Innotype
Wireless Game Controller,Tagtune,e94e6d0e-f12a-4601-b3b2-ee13934c1823,Sports,2025-03-25,,Somdet,"Legros, Rippin and Jacobson",6702,105,Ergonomic wireless controller for gaming consoles.,Travel-friendly water bottle for pets on the go.,,Twitterwire
Dish Rack,Devify,bfceaa26-5233-4a59-8600-c7bb0d01d369,Games,2025-04-18,24.99,Eling,"Torp, Emmerich and Larkin",87586,149,Collapsible dish rack for kitchen countertop use.,Sweet and crunchy honey-flavored graham crackers.,138,Skipstorm
Avocado Oil Mayo,Agimba,636b6ba4-80b8-4aa7-95c1-c65ef896199e,Outdoors,2025-06-27,5.29,Neryungri,"Cummerata, Ernser and Tillman",38583,280,Creamy mayonnaise made with avocado oil for a healthier twist.,Personal massager for muscle recovery.,275,Voomm
Smoked Paprika Chicken Thighs,Kwimbee,d15e0da3-65bb-454c-9071-b13fbc202212,Jewelry,2025-04-06,6.99,,Spencer-Jenkins,78126,187,Marinated chicken thighs with smoked paprika for a smoky flavor.,64GB SD memory card for cameras and devices.,294,Wikivu
Hiking Gaiters,Quimba,,Electronics,2025-03-03,29.99,Pingyao,,,163,Protective gaiters to keep dirt and debris out of shoes during hikes.,Mix to create a delicious chia seed pudding in just a few minutes.,,Mycat
Wireless Mouse,Tazzy,ce107455-763c-4e5b-932a-19db289014c7,Books,2025-02-22,25.99,Morteros,Kohler LLC,81116,22,,Lint roller designed specifically for removing pet hair from furniture.,227,Jazzy
Shredded Cheese,Agimba,98a9137a-8d5b-4844-b646-8cb62635658c,Clothing,2025-06-08,,,Hoppe LLC,22011,15,"Blend of cheddar and mozzarella cheese, great for recipes.",Portable mixer bottle for smoothies and protein shakes.,42,Katz
Wi-Fi Enabled Smart Light Switch,,,Kids,2025-10-26,,Guadalupe,"Labadie, Rohan and Robel",,274,,Just add water for a hearty cheese and broccoli soup in minutes.,86,
Noise Cancelling Ear Muffs,,ed277547-9416-481e-b59f-90e4c1991100,Baby,2026-01-20,24.99,Montería,Frami LLC,5467,175,,"Frozen pizza rolls stuffed with spinach and cheese, perfect for snacking.",,Linkbuzz
Peach Salsa,Devify,513c4306-4003-4b67-8d48-ecee1373de81,Shoes,2026-01-05,3.29,Pervomayskaya,Ledner Inc,14887,3,Sweet and spicy salsa made with fresh peaches.,Foam yoga block for enhancing poses and stability.,112,Latz
Greek Yogurt,Tanoodle,74b69233-5a0d-40d4-9593-4d8eaf0d80e5,Beauty,2025-12-23,1.99,Albrechtice,Baumbach and Sons,24310,75,Creamy Greek yogurt packed with protein and probiotics.,,2,Aibox
Electric Blanket,Lazz,ab8d0118-ec84-4aca-9b26-2c22f7ef9d42,Music,2025-05-06,59.99,Aravissós,McKenzie and Sons,96410,299,Extra soft electric blanket with adjustable heat settings.,Instant pressure cooker with multiple cooking settings.,170,Youbridge
Basmati Rice,Skiba,6c70c510-59c9-47aa-a332-edb7ddfec9e1,Industrial,2025-10-25,,Khantaghy,Johnson and Sons,,223,"Aromatic long-grain basmati rice, perfect for curries.",A perfect blend of pineapple and teriyaki for stir-fry.,113,Divavu
Portable SSD,Demivee,0e39fd13-08c8-4dbd-b074-3b40fa0986ab,Industrial,2025-03-21,,Paloh,,36749,149,"Fast and compact external solid state drive, 1TB.",Pancake mix infused with seasonal pumpkin spice flavor.,235,Agimba
Garlic and Herb Rub,Dazzlesphere,97323586-8e63-480c-9223-1cd6a364c3a5,Clothing,2025-05-22,2.29,Anfusi,Lynch and Sons,3808,241,A seasoning blend of garlic and herbs to enhance any dish.,High-quality whey protein powder for muscle recovery.,263,Dabfeed
Caribbean Jerk Marinade,Eazzy,,Home,2026-02-09,3.79,Si That,Considine and Sons,75591,219,A spicy marinade perfect for chicken and fish.,Set of resistance bands for home workouts.,77,Ainyx
Tandoori Chicken Skewers,Oyoyo,60320ad4-3e38-44ad-acad-f584a845d69e,Toys,2025-01-07,7.99,Milton,Cormier-Haag,75564,148,Marinated chicken skewers infused with traditional tandoori spices.,,,Photolist
Tofu,Dabshots,2f0896b0-c5a8-4c26-939f-5265984f9a21,Beauty,2025-10-27,,Sabóia,,11744,173,"Firm tofu, a great plant-based protein option.","Sweet and tart dried cranberries, great for salads and baking.",75,Realbuzz
Camera Lens Cleaning Kit,,a56d22bc-e07b-4b6a-92b6-596132ac8f50,Industrial,2025-08-16,14.99,,Windler Group,96600,167,Complete cleaning kit for camera lenses.,Set of decorative ceramic planters for indoor plants.,,Zooveo
Outdoor Camping Lantern,Zooveo,ba7cbc35-ed72-45f1-af3c-4d5f2588fa30,Garden,2025-11-25,34.99,,,62709,168,Rechargeable LED lantern ideal for camping and outdoor activities.,"Stylish two-tone windbreaker, perfect for active days.",172,
Italian Sausage and Peppers,Skyba,d15f59a5-9614-4a88-ad1d-4a024a5fdc60,Music,2025-12-02,8.99,Gornji Milanovac,White Inc,15008,36,,A soothing tea blend with turmeric and ginger for wellness.,249,
Basketball,Centimia,,Games,2025-07-10,,Primero de Mayo,Zboncak Inc,94145,196,Official size basketball for indoor and outdoor play.,Individually packaged bars made with dried fruits and nuts.,151,Gabvine
Plant Pot Drip Trays,Eire,2fdcb6c2-33c1-4935-9247-233d80fa2d0f,Kids,2025-07-25,9.99,Chunjiang,Shanahan-Rogahn,13938,259,Prevent water damage with drip trays for potted plants.,Comfortable carrier for small pets during travel.,107,Digitube
Cinnamon Sugar Mix,Npath,d28ff307-73f9-4fd2-9715-ed7acfdb82a6,Health,2025-03-04,1.49,Nanpu,Murray-Mante,66382,234,Sweet mixture of cinnamon and sugar for sprinkling.,Toy drone that flies with gestures and is easy to control.,,
Cauliflower Gnocchi,Fivespan,603a3688-edb1-49c9-9ac1-72b630e84e29,Shoes,2025-10-31,3.59,Sumberejo,Beahan-Schimmel,47545,81,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce.","Nutty, crunchy pecans great for baking.",79,Dabfeed
Leather Notebook Cover,Bluejam,c72e1cb3-ce82-4f71-bfd8-c3d9409f2d6b,Jewelry,2025-05-01,29.99,Yerevan,,91517,209,Elegant cover that protects your notebook with style.,"A mix of strawberries, blueberries, and raspberries, great for smoothies or desserts.",144,Voonyx
Chili Beans in Sauce,Jaloo,45c6fc6a-9309-48e7-aac1-0c91796327c7,Toys,2025-04-13,1.79,Linshanhe,,73627,205,Canned beans cooked in a savory chili sauce,,74,Gabspot
Scent Diffuser Oil,,ea784618-1027-4ea0-baf5-be2da8ad64e3,Tools,2025-09-11,14.99,Gobojango,"Morissette, Stark and Dibbert",75959,48,,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",45,Midel
Digital Stopwatch Timer,,e7e644bb-8252-4776-b90c-942b6e9df50a,Movies,2025-04-26,12.99,Londrina,Quitzon Group,29988,101,,Colorful bins to keep your space organized.,96,Yozio
Breezy Off-The-Shoulder Top,Tagpad,382fbe41-6a65-4755-8b95-250740c561d6,Automotive,2025-05-01,34.99,Lancaster,"Gottlieb, Blanda and Runte",40424,52,A light and breezy top ideal for warm days.,Unsweetened coconut flakes for baking and topping.,251,Bluezoom
Sweet and Spicy Barbecue Sauce,Bubblemix,,Electronics,2025-12-31,3.99,Soroti,,87969,84,A flavorful barbecue sauce with a sweet and spicy kick.,Delicious mini donuts dusted with cinnamon sugar.,222,Voomm
Herbal Tea Sampler Box,Gabtune,01b0fbf9-89d2-4efe-8faa-039961620cb7,Home,2025-02-23,,Limoges,"Schinner, Pagac and Harvey",,232,Assorted collection of herbal teas for relaxation and wellness.,Classic wooden building blocks for toddlers.,116,Jetwire
Cinnamon Raisin Bread,,f37c91a4-82ab-4d50-be16-187e5c3fac64,Jewelry,2025-03-27,3.79,Andoany,McClure Group,87097,89,,Beautifully crafted jewelry box with compartments for storage.,5,Jaxspan
Leather Wallet,Dazzlesphere,4572c39e-cab0-4f75-85f8-f68ddf9a801c,Jewelry,2025-09-20,49.99,Zhaowanzhuang,"Swift, Kohler and Doyle",59710,1,Genuine leather wallet with multiple compartments.,"Wild-caught salmon filets, perfect for grilling or baking.",23,Topdrive
Magic Color-Changing Mug,Flashdog,7bc37fc6-4f8d-4b57-991e-d3a712dcc015,Jewelry,2025-01-06,14.99,Kupchino,Sawayn-Ryan,32874,218,Heat-sensitive mug that changes color when filled with hot liquid.,Tangy salsa made from tomatillos and peppers.,257,LiveZ
Multifunctional Baby Bottle Warmer,Yata,,Kids,2026-01-05,,Toufang,Frami Inc,26875,57,Warmer for heating baby bottles and food jars.,,254,Realcube
Teriyaki Beef Jerky,Tanoodle,d73b11f2-fbdb-4ef8-8200-92d8a44ba961,Beauty,2025-10-08,5.49,Fujinomiya,,64614,125,,Comfortable harness designed to keep pets safe in the car.,201,Voolith
Pear and Gorgonzola Salad,Blogtags,e50d8d29-9350-4cfd-b851-7a373492547f,Garden,2025-06-07,,,Moore LLC,47580,209,"Fresh salad with pears, gorgonzola cheese, and nuts, perfect for lunch.",,92,Tazz
Foot Massager Machine,Innojam,,Kids,2025-11-22,59.99,Kayapa,"Abernathy, Schmidt and Stiedemann",51467,198,Electric foot massager for relaxation and relief.,"Creamy mayonnaise, perfect for salads and sandwiches.",285,
Adjustable Pedicure Footrest,Lazz,a53c70b0-346c-412e-a159-84d4998baec4,Grocery,2025-08-26,,Berlin,Heidenreich and Sons,81498,48,Ergonomic footrest for easier pedicure treatment.,,70,Mynte
Sesame Oil,Twitterworks,7c951d75-1f03-4b89-af16-fa9dd8c12add,Kids,2025-04-08,3.99,,Strosin-Cartwright,3906,262,Nutty-scented oil for stir-fry and marinades.,Natural fruit spread bursting with real strawberry flavor.,70,
Cat Scratching Post with Toys,Yambee,,Music,2025-07-20,44.99,Deje,,45923,101,Multi-level scratching post to keep your cat entertained.,"A rich marinade perfect for meats and vegetables, infused with Italian herbs and balsamic vinegar.",171,Devpoint
3D Night Light,,,Electronics,2025-01-26,19.99,Pasirjaya,Ritchie Group,7068,212,,Moist brownie topped with sea salt and caramel drizzle.,,Voolith
Toy Building Set,Pixope,ca4c467b-ea41-4918-a135-ea9eec4797b9,Toys,2025-08-18,29.99,Pai do Vento,Daugherty-McKenzie,82427,151,Creative building set for kids to spark imagination.,Creamy peanut butter with no added sugar or oils.,224,
Safety First Aid Kit,Livepath,3dab7abb-b6d3-427e-ad73-5e9b9aa82e83,Garden,2025-09-29,,Sale,"Fay, Kulas and Jacobs",,65,Comprehensive first aid kit for home or travel emergencies.,Laundry bags perfect for delicates and organizing clothes.,191,Skiba
Cinnamon Spiced Almonds,Riffwire,7d48ba60-d1a0-451e-98a5-174076c80f1e,Books,2025-03-19,,Maubin,Nienow-Baumbach,6440,54,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,"Spicy and creamy dip made with shredded chicken, perfect for parties.",199,Zoovu
Athletic Jogging Jacket,Meevee,b6f7253f-2390-494a-8d2b-a1a8dccab472,Movies,2025-04-21,49.99,Spassk-Dal’niy,"Ernser, Thompson and Leannon",,92,,Instant mix for creamy vanilla pudding.,136,Cogilith
Classic Caesar Dressing,Twitterbridge,,Industrial,2025-07-18,,Kesabpur,,,184,Rich and creamy Caesar dressing for salads and wraps.,Set of reusable baking cups for muffins and cupcakes.,147,Quimba
Sushi Roll Kit,Oloo,b749b72d-6ce7-4fbf-87a3-fe24513d2826,Health,2025-07-10,9.99,Semeljci,"Wunsch, Renner and McDermott",75367,184,All ingredients needed to make your own sushi,"Crunchy granola clusters, perfect for snacking or topping yogurt.",128,Pixope
Wireless Earbud Silicone Covers,Viva,,Movies,2026-01-05,9.99,Złoczew,Reinger Inc,,151,Soft silicone earbud covers for comfort and fit.,Rich vegetable broth for soups and stews.,49,Tagopia
Canvas Tote Bag,Fiveclub,17754d0f-11bb-4b06-b74b-b5ef666075de,Home,2025-04-07,19.99,Pukou,Bruen-Jaskolski,,193,"Durable canvas tote bag, perfect for everyday use.",A rich curry paste for making authentic Thai green curry at home.,4,Quire
Spaghetti Sauce,Viva,f177395a-9f01-4348-8a84-31de68cd7fa3,Health,2025-09-08,2.99,Kedungwaru,"Carroll, Lemke and Blick",12795,24,"Rich spaghetti sauce, a perfect pasta sauce.",A blend of herbs and garlic for seasoning meats and vegetables.,178,Vinte
Garden Tool Belt,Quimm,3c898bdb-243c-4ad5-a78b-73c02cd0b094,Games,2025-06-10,22.99,Xom Tan Long,,19981,281,Handy belt for carrying garden tools while working.,Fresh walnut halves for baking or snacking.,8,Edgepulse
Personalized Cutting Board,,8e3f7211-c68e-4300-a908-9cafde658b87,Industrial,2025-07-23,,Tarīm,"Lakin, Stoltenberg and Labadie",,139,Custom cutting board made from high-quality wood.,Instant mix for delicious pumpkin spice lattes at home.,294,Tazz
Vegan chocolate chip cookies,,f68c7405-e747-4530-93b8-86ed032508d2,Music,2026-01-10,4.79,Markaz Bilād aţ Ţa‘ām,,13985,201,"Delicious soft cookies, dairy-free and egg-free, perfect for treats.",Boosts your Wi-Fi coverage for better connectivity.,277,Bubbletube
Body Wash,Realcube,eff17e0b-1019-4215-b7fe-b7033ca2eff3,Automotive,2025-07-27,12.99,Campina Grande,,93615,86,Moisturizing body wash with natural ingredients.,,5,Zooveo
Fashionable Belt Bag,Topiczoom,e41717f9-126d-4760-8764-57a9def1a633,Health,2025-08-19,34.99,Sombor,"Stamm, Kuvalis and Fahey",74052,165,Trendy belt bag for hands-free carrying.,Durable 50-foot garden hose with nozzle.,75,Dynabox
Artisan Pickles,Gevee,7601cad7-ac82-416d-bacc-a3a2e57d6d35,Beauty,2025-11-16,2.49,Oefau,Abshire-Mueller,47171,44,Tangy and crunchy dill pickles.,Wearable device to track fitness activities and heart rate.,234,Bluejam
Foam Muscle Roller,Kazio,3615243d-9d5b-43f9-b664-9b9886de2d01,Outdoors,2026-01-13,24.99,Xinxing,Fay and Sons,64037,177,Relieve muscle tension and soreness with this foam roller.,Reusable silicone lids for covering food in bowls and storage containers.,167,Edgeclub
Camping Tarp,Feedmix,180d6052-9cab-42d2-b1bd-28683a49bd57,Baby,2026-01-13,32.99,Bayt ‘Ūr at Taḩtā,"Jacobs, Torp and Kohler",52681,249,Durable tarp for outdoor camping and protection.,Sharp tailored blazer perfect for office wear and professional events.,1,Edgeify
Electric Skillet,Kamba,,Tools,2025-09-11,49.99,Angoulême,Kirlin Group,,218,Versatile electric skillet for stir-frying and searing.,"Thin and crispy flatbreads, perfect for dips.",83,
Non-Toxic Crayons for Kids,Gabtune,c579a643-930a-4063-a5a5-ada3c4391b86,Kids,2025-07-23,10.99,,"Hyatt, Kunde and Pollich",91247,233,Safe and vibrant crayons for children's art projects.,"Yogurt with the flavors of coconut cream pie, nice and indulgent.",252,Twitterworks
Fruit and Nut Bars,Meezzy,0f843c4e-c792-442c-ac04-585723a480b0,Industrial,2025-06-04,1.99,Baranusa,,36458,166,,Hearty chili made with premium ground beef and kidney beans.,176,Wikibox
Luminous Night Light,Oyope,,Grocery,2025-01-23,15.99,Nusajaya,"Kertzmann, Shanahan and Schuster",88534,22,Soft glow night light for children's rooms or bedside.,"Fruits dipped in rich chocolate, perfect for desserts.",37,Linklinks
Portable Leaf Blower,Youtags,1aab77eb-9d00-4ff1-9bb3-345e9193b98d,Shoes,2025-02-08,149.99,Smedjebacken,Wiza-Konopelski,62515,30,Lightweight leaf blower for maintaining outdoor spaces.,Durable lunch box designed to keep food fresh and cool.,175,Kimia
Spicy Thai Coconut Soup,Photospace,e205b6c3-22d7-469d-b82b-6c091015cce9,Outdoors,2025-01-18,3.99,Petung,"Lang, O'Kon and Wisozk",51654,204,"A ready-to-eat soup with coconut milk, spices, and vegetables.","Creamy cottage cheese, perfect for healthy snacking.",109,Mynte
Breathable Face Mask Set,Tagopia,,Toys,2025-01-07,14.99,Guangming,"Lakin, Kessler and Jacobson",72212,140,Comfortable and reusable face masks in different styles.,Custom engraved ID tags for pets with your contact information.,112,
Banana Peanut Butter Smoothie,Livetube,026da088-4497-4d34-ae97-0db98839f608,Shoes,2025-06-30,5.49,Chipyela,Tromp LLC,70950,37,Frozen smoothie mix with bananas and peanut butter for a quick drink.,Stylish holder for organizing cooking utensils.,10,
Multi-Purpose Scissors,Ntag,d1f13077-6978-484f-94eb-efe0889dc0a5,Grocery,2026-02-12,8.99,,,,266,Heavy-duty scissors for crafting and office use.,"Savory, roasted nuts seasoned with garlic and parmesan.",116,Brainverse
Pet Safety Harness,,f7ceba41-1c82-4225-a04f-27a538c99414,Computers,2025-03-31,24.99,Limanowa,,67199,209,Comfortable harness designed to keep pets safe in the car.,Wireless headphones with noise-canceling features.,,Yakitri
Creamy Coleslaw Mix,Jabberstorm,,Baby,2025-02-24,2.39,Delok,Murray Group,49304,28,Shredded cabbage and carrots for coleslaw.,"Compact, waterproof blanket for picnics and events.",,Zava
Fall-Themed Table Runner,Oyoba,aeaca148-efb5-4217-a155-ced49519a129,Outdoors,2025-08-22,19.99,Capulaan,"Stamm, Ullrich and Schaden",27289,124,,Fluffy biscuits made without gluten,38,Nlounge
Wireless Charging Station,Feedmix,f2d6bb95-81de-4d70-b7f0-20778da0a6e0,Clothing,2026-02-11,,,Bechtelar-Cummings,84200,210,Charge multiple devices with this sleek charging station.,Eco-friendly mesh bags for shopping produce at the market.,1,Skalith
USB Wall Charger,Topiczoom,cf864212-5141-4eea-aa48-bc6c384ec1a8,Electronics,2025-03-20,19.99,Tanahedang,"Kuvalis, Grant and O'Connell",,13,Multiple USB ports for charging devices simultaneously.,Add a pop of color with this stylish patterned knit scarf.,13,Brainlounge
Banana Peanut Butter Smoothie,Tazz,b036f782-fce7-4559-ad41-cf4eeb0edf21,Electronics,2025-05-10,5.49,Sława,Bernier and Sons,,41,Frozen smoothie mix with bananas and peanut butter for a quick drink.,A blend of dried Italian herbs for cooking.,23,Twimm
Almond Joy Bars,Zoombeat,66e2b443-9e35-4fb3-947e-e72874d9313e,Electronics,2025-12-06,1.29,Sarandi,"Lehner, Vandervort and Rutherford",94466,266,Chocolate-covered candy bars with coconut and almonds.,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",,Ntags
Smartwatch,Katz,d7d76568-3e64-4f48-a5b8-6886c1730d12,Baby,2025-10-25,199.99,,Klein Group,48297,146,Stylish smartwatch with fitness tracking features.,DIY kit to make your own elderberry syrup.,242,Yambee
Portable Camping Shower,Eidel,7ce8616e-89d9-4f33-a953-ef4ef29381fe,Garden,2025-03-12,39.99,Qingshi,,45078,241,Convenient shower system for camping and outdoor activities.,,264,Skyble
Silicone Baking Mats,,12211c93-5d0c-4f9b-a356-12cef6fc3789,Home,2025-10-18,,Zátor,McClure LLC,,244,Reusable silicone mats for non-stick baking.,Affordable fitness tracker with heart rate monitor.,107,
Pet Training Clicker,Tekfly,8c7b8af3-eef5-4274-9541-271d3e313b8a,Computers,2025-11-25,5.99,Kotovs’k,"Beer, Braun and O'Connell",44127,138,Simple tool to train your pet with positive reinforcement.,Tender carrots glazed with a sweet maple sauce.,137,Mydeo
